date,source,GWh,TWh,total_GWh,share
2001-01-01,Coal,177287.111,177.287111,307630.649,0.5762985956578078
2001-01-01,Gas,42388.663,42.388663,307630.649,0.13779076674509114
2001-01-01,Hydro,18852.048,18.852048,307630.649,0.0612814362329678
2001-01-01,Nuclear,68707.077,68.707077,307630.649,0.22334275607239645
2001-01-01,Solar,6.5,0.0065,307630.649,2.112923410306884e-05
2001-01-01,Wind,389.25,0.38925,307630.649,0.0012653160576337763
2001-02-01,Coal,149735.484,149.73548399999999,266891.517,0.5610350065940837
2001-02-01,Gas,37966.927,37.966927000000005,266891.517,0.14225602756793504
2001-02-01,Hydro,17472.889,17.472889,266891.517,0.0654681317578183
2001-02-01,Nuclear,61272.407,61.272407,266891.517,0.2295779487064027
2001-02-01,Solar,12.568,0.012568,266891.517,4.7090293993870174e-05
2001-02-01,Wind,431.242,0.431242,266891.517,0.0016157950797664358
2001-03-01,Coal,155269.011,155.269011,282814.944,0.5490127530177471
2001-03-01,Gas,44364.414,44.364414,282814.944,0.15686729057712026
2001-03-01,Hydro,20477.189,20.477189,282814.944,0.07240490445936265
2001-03-01,Nuclear,62140.712,62.140712,282814.944,0.21972216574241563
2001-03-01,Solar,31.498,0.031498,282814.944,0.00011137318118522053
2001-03-01,Wind,532.12,0.53212,282814.944,0.0018815130221690123
2001-04-01,Coal,140670.654,140.670654,261252.874,0.5384463406898253
2001-04-01,Gas,45842.746,45.842746,261252.874,0.17547269546975394
2001-04-01,Hydro,18012.994,18.012994,261252.874,0.06894850083065497
2001-04-01,Nuclear,56003.026,56.003026,261252.874,0.21436329155942604
2001-04-01,Solar,38.759,0.038759,261252.874,0.0001483581765305288
2001-04-01,Wind,684.695,0.684695,261252.874,0.0026208132738091906
2001-05-01,Coal,151592.914,151.59291399999998,283931.281,0.5339070547848512
2001-05-01,Gas,50934.205,50.934205,283931.281,0.1793891987547508
2001-05-01,Hydro,19175.635,19.175635,283931.281,0.06753618316539063
2001-05-01,Nuclear,61512.445,61.512445,283931.281,0.216645537551743
2001-05-01,Solar,81.053,0.081053,283931.281,0.0002854669612820857
2001-05-01,Wind,635.029,0.635029,283931.281,0.0022365587819821796
2001-06-01,Coal,162615.804,162.615804,309730.463,0.5250236041522335
2001-06-01,Gas,57603.154,57.603154,309730.463,0.18597832916421916
2001-06-01,Hydro,20727.63,20.72763,309730.463,0.06692150910580598
2001-06-01,Nuclear,68023.098,68.023098,309730.463,0.2196203025725629
2001-06-01,Solar,91.143,0.091143,309730.463,0.0002942655337069638
2001-06-01,Wind,669.634,0.6696340000000001,309730.463,0.002161989471471523
2001-07-01,Coal,179060.41,179.06041,340062.697,0.5265511671219852
2001-07-01,Gas,73030.142,73.03014200000001,340062.697,0.21475493385268307
2001-07-01,Hydro,18079.119,18.079119,340062.697,0.05316407579982229
2001-07-01,Nuclear,69166.04,69.16604,340062.697,0.20339202332445183
2001-07-01,Solar,91.994,0.091994,340062.697,0.000270520703421934
2001-07-01,Wind,634.992,0.634992,340062.697,0.001867279197635723
2001-08-01,Coal,183116.073,183.116073,349491.646,0.5239497856266355
2001-08-01,Gas,78409.804,78.40980400000001,349491.646,0.22435387196637027
2001-08-01,Hydro,18913.768,18.913768,349491.646,0.054117940203926934
2001-08-01,Nuclear,68389.496,68.389496,349491.646,0.19568277749334242
2001-08-01,Solar,85.299,0.085299,349491.646,0.00024406591967580252
2001-08-01,Wind,577.206,0.577206,349491.646,0.0016515587900490188
2001-09-01,Coal,154158.317,154.158317,293528.967,0.5251894508932742
2001-09-01,Gas,60181.14,60.18114,293528.967,0.20502623851771332
2001-09-01,Hydro,15256.027,15.256027,293528.967,0.05197451943473776
2001-09-01,Nuclear,63378.451,63.378451,293528.967,0.21591889770797307
2001-09-01,Solar,64.803,0.064803,293528.967,0.00022077207800755145
2001-09-01,Wind,490.229,0.49022899999999997,293528.967,0.0016701213682941212
